지하철역
동묘앞
진접
오남
별내별가람
미아사거리
충무로
노량진
운정
문산
임진강
청량리
상봉
망우
신내
별내
퇴계원
사릉
금곡
평내호평
천마산
마석
대성리
청평
상천
굴봉산
백양리
강촌
남춘천
춘천
봉명
과천
정부과천청사
구로
신길온천
백운
온수
지축
충무로
매봉
가락시장
명동
한남
망우
용문
야당
금릉
금촌
월롱
서울대입구
아현
구파발
대방
광운대
개포동
양원
지평
아산
탕정
배방
신창
선바위
경마공원
대공원
판교
일원
상계
회현
사당
옥수
복정
청량리
수원
가천대
기흥
남동인더스파크
숭의
신포
봉천
잠원
대치
경찰병원
구리
소사
야탑
상갈
도봉
신림
용답
노원
성신여대입구
도농
홍대입구
관악
화서
성환
상록수
제물포
소래포구
송도
종로5가
신대방
도림천
홍제
창동
동작
이촌
응봉
왕십리
양정
강매
백마
금정
태평
서현
신당
당산
독립문
동대입구
학여울
오금
서울역
영등포
행신
신둔도예촌
두정
동인천
구일
한대앞
선릉
합정
양천구청
경복궁
부발
천안
부천
어천
도곡
수서
쌍문
수유
미아
한성대입구
신용산
이촌
회기
대모산입구
덕소
군포
광명
망월사
검암
송내
수내
영통
야목
인천
회룡
녹양
덕계
덕정
동두천중앙
동두천
화정
대곡
마두
정발산
주엽
방화
김포공항
마곡
목동
홍대입구
신답
연신내
남부터미널
산본
동암
인천
부개
간석
안산
정왕
압구정로데오
강남구청
선정릉
모란
오리
매탄권선
매교
달월
방학
녹천
인덕원
수원
세류
세마
오산대
오산
송탄
평택지제
평택
직산
대야미
반월
한대앞
고잔
초지
오이도
수리산
개봉
역곡
당고개
남태령
신이문
왕십리
도심
능곡
풍산
평촌
이매
삼동
경기광주
초월
곤지암
가산디지털단지
금천구청
석수
안양
명학
의왕
성균관대
안산
구로디지털단지
안국
양재
대청
길음
용산
외대앞
석계
국수
오빈
양평
원덕
서울역
신촌
효창공원앞
공덕
서강대
디지털미디어시티
곡산
오목교
역삼
고속터미널
교대
동대문역사문화공원
총신대입구
신도림
창동
선릉
도곡
수서
신길
중랑
상봉
팔당
운길산
양수
신원
아신
서울숲
상왕십리
대림
신도림
문래
영등포구청
신촌
이대
신정네거리
용두
불광
녹번
무악재
종로3가
을지로3가
금호
옥수
압구정
구룡
왕십리
한양대
뚝섬
성수
건대입구
구의
강변
잠실나루
잠실
잠실새내
종합운동장
삼성
강남
교대
서초
방배
사당
낙성대
동대문
신설동
제기동
청량리
까치산
시청
을지로입구
을지로3가
을지로4가
동대문역사문화공원
신설동
대곡
약수
신사
동대문
남영
용산
월계
인천논현
충정로
혜화
숙대입구
회기
가좌
오류동
도원
중앙
초지
신길온천
의정부
까치산
양평
영등포구청
영등포시장
신길
여의도
여의나루
마포
공덕
애오개
서대문
광화문
종로3가
을지로4가
동대문역사문화공원
삼각지
서빙고
한티
중랑
김유정
금정
정왕
보정
망포
오목천
백석
발산
충정로
신금호
행당
왕십리
마장
장한평
아차산
광나루
길동
굽은다리
고덕
상일동
둔촌동
올림픽공원
청량리
화전
일산
탄현
파주
쌍용
병점
미금
호구포
원당
화곡
오금
개롱
거여
마천
하남풍산
하남시청
응암
역촌
불광
독바위
연신내
구산
새절
증산
디지털미디어시티
월드컵경기장
마포구청
수색
갈매
가평
온양온천
범계
독산
서동탄
주안
원흥
신정
군자
미사
망원
상수
공덕
효창공원앞
삼각지
녹사평
이태원
한강진
버티고개
약수
청구
신당
창신
보문
안암
고려대
회기
이천
서정리
당정
중앙
부평
중동
이매
인하대
우장산
천호
강일
월곡
상월곡
돌곶이
석계
태릉입구
화랑대
봉화산
신내
장암
도봉산
마들
노원
중계
하계
먹골
중화
진위
오이도
도화
정자
구성
수원시청
원인재
도봉산
보산
강동
동묘앞
면목
사가정
군자
어린이대공원
청담
강남구청
논현
반포
고속터미널
내방
남성
상도
남구로
가산디지털단지
검단사거리
광운대
고잔
죽전
신갈
고색
월곶
연수
가능
양주
삼송
광흥창
대흥
태릉입구
장승배기
신대방삼거리
암사
잠실
석촌
송파
신흥
세종대왕릉
청명
사리
지행
소요산
대화
개화산
명일
방이
수락산
대림
광명사거리
천왕
천호
수진
남위례
박촌
동춘
센트럴파크
송정
답십리
합정
용마산
숭실대입구
신풍
온수
강동구청
가락시장
문정
남한산성입구
계산
부평구청
부평삼거리
원인재
인천대입구
송도달빛축제공원
완정
청구
하남검단산
장지
복정
산성
단대오거리
모란
계양
임학
경인교대입구
부평시장
동수
문학경기장
까치울
김포공항
공릉
상봉
중곡
뚝섬유원지
이수
갈산
간석오거리
인천시청
예술회관
인천터미널
캠퍼스타운
테크노파크
지식정보단지
국제업무지구
검단오류
왕길
부천종합운동장
춘의
신중동
학동
철산
귤현
아시아드경기장
석남
가재울
주안국가산단
석바위시장
만수
남동구청
인천대공원
운연
부천시청
상동
삼산체육관
굴포천
부평구청
산곡
석남
개화
기흥
건대입구
보라매
몽촌토성
작전
부평
신연수
동막
마전
인천가좌
시민공원
인천시청
광교
강남대
지석
어정
송산
탑석
북한산우이
솔밭공원
4?19민주묘지
가오리
화계
삼양
선학
독정
검바위
서구청
가정
서부여성회관
주안
석천사거리
모래내시장
공항시장
신방화
마곡나루
양천향교
가양
증미
등촌
염창
선유도
당산
국회의사당
여의도
샛강
노량진
노들
흑석
동작
구반포
신반포
고속터미널
사평
신논현
언주
선정릉
여주
신목동
삼성중앙
봉은사
종합운동장
삼전
석촌고분
석촌
송파나루
한성백제
올림픽공원
둔촌오륜
중앙보훈병원
서울역
공덕
홍대입구
디지털미디어시티
마곡나루
김포공항
계양
가정중앙시장
검암
청라국제도시
운서
공항화물청사
인천공항1터미널
인천공항2터미널
영종
강남
양재
양재시민의숲
청계산입구
판교
정자
미금
동천
수지구청
성복
상현
광교중앙
서울역
시청
종각
종로3가
동백
초당
삼가
시청.용인대
명지대
김량장
전대.에버랜드
회룡
범골
경전철의정부
의정부시청
흥선
의정부중앙
동오
새말
경기도청북부청사
효자
곤제
어룡
삼양사거리
솔샘
북한산보국문
정릉
성신여대입구
보문
신설동
소사
소새울
시흥대야
신천
신현
시흥시청
시흥능곡
달미
선부
초지
시우
원시
양촌
구래
마산
장기
운양
걸포북변
사우
풍무
고촌
김포공항
운동장.송담대
고진
보평
둔전
발곡
다대포해수욕장
다대포항
낫개
신장림
장림
동매
신평
하단(부산본병원)
당리(사하구청)
사하
괴정
대티(동주대학)
서대신
동대신
토성
자갈치
남포
중앙
부산
초량
부산진
좌천
범일
범내골
서면
부전(부산시민공원·송상현광장)
양정
시청(연제)
연산
교대
동래
명륜
온천장
부산대
장전(부산가톨릭대학교)
구서
두실
남산(부산외국대학교)
범어사
노포(종합버스터미널)
장산(해운대백병원)
중동
해운대
동백
벡스코(시립미술관)
센텀시티(BEXCO·신세계)
민락
수영
광안
금련산
남천(KBS·수영구청)
경성대·부경대(동명대학교)
대연(고려병원)
못골(남구청)
지게골
문현
국제금융센터·부산은행
전포
서면
부암(온종합병원)
가야
동의대
개금
냉정
주례
감전(사상구청)
사상(서부터미널)
덕포
모덕
모라
구남
구명
덕천(부산과기대)
수정(방송통신대)
화명
율리
동원
금곡
호포
증산
부산대양산캠퍼스
남양산(범어)
양산(시청·동원과학기술대학교)
수영
망미(병무청)
배산
물만골
연산
거제(법원·검찰청)
종합운동장
사직
미남
만덕
남산정(부산폴리텍대학)
숙등(부민병원)
덕천(부산과기대)
구포
강서구청
체육공원
대저
미남
동래
수안
낙민
충렬사(안락)
명장
서동
금사
반여농산물시장
석대
영산대(아랫반송)
동부산대학(윗반송)
고촌
안평(고촌주택단지)
